,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
18615,2015,1,2,5,B6,116,N198JB,JFK,SYR,952,945.0,-7.0,14.0,959.0,71.0,67.0,50.0,209,1049.0,3.0,1103,1052.0,-11.0,0,0,,,,,,
5068316,2015,11,13,5,DL,1381,N314NB,MSP,JAX,1000,954.0,-6.0,8.0,1002.0,170.0,153.0,142.0,1174,1324.0,3.0,1350,1327.0,-23.0,0,0,,,,,,
1969232,2015,5,6,3,EV,6133,N14168,ERI,ORD,622,616.0,-6.0,17.0,633.0,94.0,96.0,69.0,398,642.0,10.0,656,652.0,-4.0,0,0,,,,,,
1438642,2015,4,3,5,OO,7392,N443SW,SGU,SLC,637,638.0,1.0,10.0,648.0,68.0,59.0,46.0,272,734.0,3.0,745,737.0,-8.0,0,0,,,,,,
5478799,2015,12,10,4,F9,1456,N211FR,LAS,ATL,20,29.0,9.0,9.0,38.0,225.0,211.0,194.0,1747,652.0,8.0,705,700.0,-5.0,0,0,,,,,,
897318,2015,2,28,6,EV,4430,N18102,EWR,SAV,1832,1830.0,-2.0,19.0,1849.0,141.0,139.0,114.0,708,2043.0,6.0,2053,2049.0,-4.0,0,0,,,,,,
2001102,2015,5,7,4,WN,659,N612SW,SMF,PHX,2145,2317.0,92.0,7.0,2324.0,105.0,107.0,96.0,647,100.0,4.0,2330,104.0,94.0,0,0,,2.0,0.0,0.0,92.0,0.0
4212343,2015,9,20,7,WN,324,N424WN,RDU,ATL,615,615.0,0.0,8.0,623.0,85.0,72.0,54.0,356,717.0,10.0,740,727.0,-13.0,0,0,,,,,,
229825,2015,1,15,4,WN,1625,N8635F,MCO,SJU,1935,1936.0,1.0,15.0,1951.0,160.0,156.0,136.0,1189,2307.0,5.0,2315,2312.0,-3.0,0,0,,,,,,
1747889,2015,4,22,3,WN,854,N782SA,RDU,TPA,1035,1033.0,-2.0,13.0,1046.0,105.0,108.0,92.0,587,1218.0,3.0,1220,1221.0,1.0,0,0,,,,,,
5164413,2015,11,19,4,WN,135,N656SW,LAS,ABQ,1200,1158.0,-2.0,31.0,1229.0,85.0,95.0,60.0,486,1429.0,4.0,1425,1433.0,8.0,0,0,,,,,,
1773488,2015,4,23,4,UA,1024,N63820,EWR,SFO,1930,1931.0,1.0,15.0,1946.0,410.0,370.0,347.0,2565,2233.0,8.0,2320,2241.0,-39.0,0,0,,,,,,
2195987,2015,5,20,3,AS,345,N566AS,OAK,SEA,610,601.0,-9.0,25.0,626.0,115.0,127.0,94.0,672,800.0,8.0,805,808.0,3.0,0,0,,,,,,
4871109,2015,10,31,6,NK,777,N631NK,11697,12889,2005,1958.0,-7.0,17.0,2015.0,305.0,312.0,283.0,2173,2158.0,12.0,2210,2210.0,0.0,0,0,,,,,,
4881791,2015,11,1,7,DL,2337,N912DN,ATL,DAY,1601,1620.0,19.0,11.0,1631.0,90.0,75.0,61.0,432,1732.0,3.0,1731,1735.0,4.0,0,0,,,,,,
1527009,2015,4,8,3,OO,4767,N603SK,OAK,LAX,1533,1523.0,-10.0,10.0,1533.0,86.0,99.0,57.0,337,1630.0,32.0,1659,1702.0,3.0,0,0,,,,,,
1399005,2015,3,31,2,US,589,N584UW,DCA,PHX,1715,1710.0,-5.0,36.0,1746.0,301.0,311.0,268.0,1979,1914.0,7.0,1916,1921.0,5.0,0,0,,,,,,
1082879,2015,3,12,4,DL,2426,N371NB,MSY,JFK,1115,1116.0,1.0,19.0,1135.0,174.0,172.0,141.0,1182,1456.0,12.0,1509,1508.0,-1.0,0,0,,,,,,
1290414,2015,3,25,3,WN,1927,N8662F,PDX,PHX,645,646.0,1.0,10.0,656.0,155.0,141.0,125.0,1009,901.0,6.0,920,907.0,-13.0,0,0,,,,,,
3937880,2015,9,2,3,NK,562,N617NK,LAX,LAS,610,602.0,-8.0,20.0,622.0,67.0,75.0,48.0,236,710.0,7.0,717,717.0,0.0,0,0,,,,,,
1585056,2015,4,12,7,US,408,N649AW,PHX,PDX,1025,1025.0,0.0,30.0,1055.0,171.0,176.0,143.0,1009,1318.0,3.0,1316,1321.0,5.0,0,0,,,,,,
3388540,2015,7,30,4,UA,746,N490UA,LAX,EWR,1750,1752.0,2.0,25.0,1817.0,325.0,301.0,271.0,2454,148.0,5.0,215,153.0,-22.0,0,0,,,,,,
4551383,2015,10,11,7,AA,644,N835AW,11423,14107,1445,1446.0,1.0,9.0,1455.0,182.0,171.0,157.0,1149,1532.0,5.0,1547,1537.0,-10.0,0,0,,,,,,
143283,2015,1,10,6,MQ,3671,N823MQ,PNS,DFW,708,659.0,-9.0,11.0,710.0,132.0,116.0,90.0,604,840.0,15.0,920,855.0,-25.0,0,0,,,,,,
3071718,2015,7,12,7,OO,6495,N132SY,COS,LAX,725,720.0,-5.0,23.0,743.0,161.0,160.0,132.0,833,855.0,5.0,906,900.0,-6.0,0,0,,,,,,
