,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE_CODE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT_CODE,DESTINATION_AIRPORT_CODE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,AIRLINE,AIRPORT_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
411984,2015,1,28,3,WN,103,N7728D,DCA,MKE,705,713.0,8.0,12.0,725.0,125.0,118.0,102.0,634,807.0,4.0,810,811.0,1.0,0,0,,,,,,,Southwest Airlines Co.,DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
3591965,2015,8,11,2,B6,153,N592JB,JFK,PBI,1859,111.0,372.0,16.0,127.0,189.0,154.0,134.0,1028,341.0,4.0,2208,345.0,337.0,0,0,,0.0,0.0,82.0,255.0,0.0,JetBlue Airways,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893
526451,2015,2,4,3,DL,1187,N921DN,MSP,DCA,1735,1734.0,-1.0,13.0,1747.0,147.0,129.0,111.0,931,2038.0,5.0,2102,2043.0,-19.0,0,0,,,,,,,Delta Air Lines Inc.,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
1336011,2015,3,27,5,WN,171,N407WN,DEN,RDU,1815,1807.0,-8.0,9.0,1816.0,185.0,186.0,173.0,1436,2309.0,4.0,2320,2313.0,-7.0,0,0,,,,,,,Southwest Airlines Co.,DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667
3424502,2015,8,1,6,WN,4330,N7751A,ATL,RIC,2125,2151.0,26.0,18.0,2209.0,100.0,87.0,63.0,481,2312.0,6.0,2305,2318.0,13.0,0,0,,,,,,,Southwest Airlines Co.,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
328289,2015,1,22,4,EV,4102,N14991,HRL,IAH,1326,1326.0,0.0,12.0,1338.0,74.0,69.0,49.0,295,1427.0,8.0,1440,1435.0,-5.0,0,0,,,,,,,Atlantic Southeast Airlines,HRL,Valley International Airport,Harlingen,TX,USA,26.228509999999996,-97.65439
4667158,2015,10,18,7,WN,61,N653SW,12992,11259,1935,2016.0,41.0,7.0,2023.0,65.0,57.0,47.0,296,2110.0,3.0,2040,2113.0,33.0,0,0,,0.0,0.0,0.0,33.0,0.0,Southwest Airlines Co.,,,,,,,
823129,2015,2,24,2,HA,110,N484HA,LIH,HNL,706,703.0,-3.0,6.0,709.0,32.0,34.0,21.0,102,730.0,7.0,738,737.0,-1.0,0,0,,,,,,,Hawaiian Airlines Inc.,LIH,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896000000001
22884,2015,1,2,5,AA,141,N5ECAA,LAX,HNL,1400,1401.0,1.0,25.0,1426.0,355.0,385.0,349.0,2556,1815.0,11.0,1755,1826.0,31.0,0,0,,31.0,0.0,0.0,0.0,0.0,American Airlines Inc.,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
280412,2015,1,19,1,DL,1892,N925DN,TPA,DTW,1206,1200.0,-6.0,12.0,1212.0,164.0,160.0,140.0,983,1432.0,8.0,1450,1440.0,-10.0,0,0,,,,,,,Delta Air Lines Inc.,TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325
